Conferência,Descrição Conferência,Imagem Conferência,Sobre Conferência,Etapas
5ª Conferência Nacional do Meio Ambiente,Quais os objetivos das conferências municipais e intermunicipais?,"As conferências municipais ou intermunicipais têm como propósito: Incentivar a ampla participação da população na construção de propostas para o enfrentamento da emergência climática, em seus cinco eixos temáticos. | Criar e enviar 10 propostas sobre os eixos temáticos para a Conferência Estadual do Meio Ambiente. | Eleger dentre participantes a delegação que representará o município na etapa estadual da 5ª Conferência Nacional do Meio Ambiente."
5ª Conferência Nacional do Meio Ambiente,Quando irão ocorrer as conferências municipais e intermunicipais?,"Elas deverão ocorrer entre 11 de junho de 2024 e 26 de janeiro de 2025, observando-se as restrições do período eleitoral."
5ª Conferência Nacional do Meio Ambiente,Qual a diferença das conferências municipais e intermunicipais?,"As conferências municipais são realizadas por apenas 1 município, e as conferências intermunicipais são realizadas em conjunto com 2 ou mais municípios."
5ª Conferência Nacional do Meio Ambiente,Em quais situações são recomendadas fazer as conferências intermunicipais?,"Os municípios com até 20.000 habitantes devem ser incentivados a fazerem conferências intermunicipais, observando características comuns ligadas aos impactos da emergência climática, seja pelas fronteiras ecossistêmicas, biorregionais ou territoriais (microrregião, mesorregião, entre outras)."
5ª Conferência Nacional do Meio Ambiente,Qual prazo para convocação das conferências municipais e intermunicipais?,O prazo para a convocação da Conferência Municipal ou Intermunicipal deve ser no mínimo 30 dias antes da sua realização.
5ª Conferência Nacional do Meio Ambiente,Quem deve convocar as conferências municipais e intermunicipais?,"O poder executivo municipal deve convocar a Conferência Municipal. Na conferência intermunicipal, a convocação é feita pelo conjunto dos poderes executivos municipais."
5ª Conferência Nacional do Meio Ambiente,O poder executivo municipal não convocou a conferência. O que fazer?,"Caso o Poder Executivo municipal não convoque a Conferência Municipal até 26 de dezembro, três ou mais entidades da sociedade civil - em conjunto - poderão fazê-lo entre 27 de dezembro de 2024 e 10 de janeiro de 2025."
5ª Conferência Nacional do Meio Ambiente,"As conferências municipais e intermunicipais acontecem em formato presencial, online ou híbrido?","Os painéis temáticos com especialistas e os grupos de trabalho por eixos temáticos podem acontecer no formato presencial, virtual ou híbrido. As plenárias, a priorização das propostas e a eleição dos/as delegados/as devem ocorrer de forma presencial."
5ª Conferência Nacional do Meio Ambiente,Qualquer pessoa pode participar e votar para delegados/as das conferências municipais e intermunicipais?,Qualquer brasileiro ou brasileira maior que 16 anos pode participar das conferências e votar nos delegados/as.
5ª Conferência Nacional do Meio Ambiente,Quem pode se candidatar a delegado/a nas conferências municipais e intermunicipais?,Qualquer brasileiro ou brasileira maior que 16 anos que comprove residência no município há pelo menos 2 anos.
5ª Conferência Nacional do Meio Ambiente,Quantos delegados podem ser eleitos nas conferências municipais e intermunicipais?,A escolha das pessoas delegadas para a Conferência Estadual se dará em conformidade com o número de vagas destinadas ao município pelo Regulamento da Conferência Estadual do Meio Ambiente.
5ª Conferência Nacional do Meio Ambiente,Quantas propostas podem ser enviadas pelas conferências municipais e intermunicipais à conferência estadual?,"Podem ser levantadas até 10 propostas, de até 400 caracteres com espaço cada, sendo 2 para cada um dos eixos temáticos."
5ª Conferência Nacional do Meio Ambiente,Qual destinação será dada as propostas enviadas pelas conferências municipais e intermunicipais?,Os resultados da Conferência Municipal ou Intermunicipal do Meio Ambiente serão encaminhados para a Comissão Organizadora Estadual por meio da Plataforma Brasil Participativo. As propostas serão sistematizadas e incluídas no Caderno de Propostas que será debatido na Conferência Estadual.
5ª Conferência Nacional do Meio Ambiente,Quais os objetivos das conferências livres?,"As conferências livres têm como propósito: Incentivar a ampla participação da população na construção de propostas para o enfrentamento da emergência climática, em  seus cinco eixos temáticos: mitigação, adaptação e preparação para desastres, justiça climática, transformação ecológica e governança e educação ambiental. | Criar e enviar até 10 propostas (de até 400 caracteres cada) sobre os 5 eixos temáticos (2 propostas por eixo temático). | Eleger, dentre as pessoas participantes, a pessoa que representará a Conferência Livre na etapa nacional da 5ª Conferência Nacional do Meio Ambiente (ou na etapa estadual, a depender do caso)."
5ª Conferência Nacional do Meio Ambiente,Quando irão ocorrer as conferências livres?,Elas deverão ocorrer entre de 11 de junho de 2024 até 26 de janeiro de 2025.
5ª Conferência Nacional do Meio Ambiente,Quem pode participar das conferências livres?,Qualquer brasileiro ou brasileira maior que 16 anos pode participar das conferências.
5ª Conferência Nacional do Meio Ambiente,Quem pode organizar uma conferência livre?,"As Conferências Livres podem ser organizadas por instituições, entidades e movimentos populares e sociais que tenham em sua agenda de debates a emergência climática ou temas que a tangenciem."
5ª Conferência Nacional do Meio Ambiente,Quem patrocina a conferência livre?,"As Conferências Livres, sendo atividades autogestionadas, devem ser organizadas e custeadas por seus proponentes, não cabendo ao Ministério do Meio Ambiente nenhum tipo de responsabilidade por sua organização e financiamento."
5ª Conferência Nacional do Meio Ambiente,Qual a abrangência territorial das conferências livres?,"Elas podem ser promovidas em âmbito municipal, intermunicipal, estadual, distrital, regional ou nacional."
5ª Conferência Nacional do Meio Ambiente,As conferências livres elegem delegados?,"As conferências livres podem submeter propostas, assim como indicar delegados/as, a partir de critérios a serem definidos pela Comissão Organizadora Nacional."
5ª Conferência Nacional do Meio Ambiente,"As conferências livres acontecem em formato presencial, online ou híbrido?","As conferências livres podem ocorrer presencialmente ou virtualmente ou, ainda, de forma híbrida (presencial e virtual simultaneamente)."
5ª Conferência Nacional do Meio Ambiente,Como organizar uma conferência livre?,"Quem deseja organizar uma conferência livre deve preencher um formulário para realização do evento por meio da Plataforma Brasil Participativo, pelo menos 10 dias antes do evento. Na inscrição devem informar o tema, público, local e formato (presencial, virtual, híbrido). Após a resposta afirmativa da Comissão Organizadora Nacional estarão aptos a realizar o evento."
5ª Conferência Nacional do Meio Ambiente,Quais iniciativas ou interesses podem estar envolvidos nas conferências livres?,"As conferências livres podem ser organizadas por grupos sociais (mulheres, negros, indígenas etc.), grupos específicos (ribeirinhos, quilombolas, pescadores etc.), ou direcionadas a temas específicos (recursos hídricos, alimentos, energia renovável etc.) ou biomas (Amazônia, Pantanal, Caatinga, Cerrado, Mata Atlântica e Pampa)."
5ª Conferência Nacional do Meio Ambiente,Quem participa de uma conferência municipal pode participar também de uma conferência livre?,Sim. A participação na conferência municipal ou intermunicipal não impede a participação nas conferências livres.
5ª Conferência Nacional do Meio Ambiente,"As conferências livres seguem as mesmas regras das conferências municipais, estaduais e distrital?","Não. As conferências livres apresentam regras próprias, que podem ser consultadas no documento “Passo a passo para Conferências Livres”."
5ª Conferência Nacional do Meio Ambiente,As conferências livres elegem delegados/as?,"As Conferências Livres poderão eleger uma pessoa delegada por Conferência realizada para a etapa Nacional. Também podem eleger delegados(as) para a Etapa Estadual ou Distrital, quando assim previsto pelo Regimento Estadual respectivo ou Distrital."
5ª Conferência Nacional do Meio Ambiente,Quantas propostas podem ser enviadas pelas conferências livres?,"Cada conferência livre poderá elaborar até 10 propostas, de até 400 caracteres com espaço cada, sendo duas por eixo temático."
5ª Conferência Nacional do Meio Ambiente,Qual destinação será dada as propostas enviadas pelas conferências livres?,"Elas serão encaminhadas para a Comissão Organizadora Nacional por meio da Plataforma Brasil Participativo, de acordo com os seguintes âmbitos: As propostas de conferências livres de âmbito local ou estadual serão incluídas no caderno de propostas que serão debatidas na conferência estadual. | As propostas de conferência livre de âmbito nacional serão incluídas no caderno de propostas da conferência nacional."
5ª Conferência Nacional do Meio Ambiente,Quais os objetivos das conferências estaduais?,"Incentivar o diálogo e construção de propostas para o enfrentamento da emergência climática no estado, em seus cinco eixos temáticos. Enviar até 20 propostas sobre os 5 eixos temáticos (sendo até 4 propostas para cada eixo temático) para a etapa nacional da Conferência. Eleger dentre as pessoas delegadas municipais, as pessoas delegadas que representarão o Estado na etapa nacional da conferência."
5ª Conferência Nacional do Meio Ambiente,Quando irão ocorrer as conferências estaduais e distrital?,Integrantes da Comissão Organizadora Estadual (COE) definem a data e local da realização da Conferência Estadual/Distrital entre 15 de janeiro a 15 de março de 2025 e ficam responsáveis pela sua ampla divulgação.
5ª Conferência Nacional do Meio Ambiente,Quem pode participar da conferência estadual?,"As pessoas delegadas eleitas nas conferências municipais e nas conferências livres do município (caso esteja previsto no Regulamento Estadual), as pessoas delegadas natas do estado, pessoas convidadas e observadores."
5ª Conferência Nacional do Meio Ambiente,Quem deve convocar as conferências estaduais e distrital?,"A convocação da Conferência Estadual ou Distrital deverá ser realizada, preferencialmente, pelo Poder Executivo Estadual ou Distrital, mediante publicação em meio de divulgação oficial e veículos de divulgação local."
5ª Conferência Nacional do Meio Ambiente,O poder executivo estadual ou distrital não convocou a conferência. O que fazer?,"No caso de o Poder Executivo Estadual ou Distrital não convocar a Conferência Estadual ou Distrital até 14 de fevereiro, a sociedade civil poderá fazê-lo a partir de 15 de fevereiro até 1º de março de 2025."
